keyword_id,rule_version_id,type,keyword,keyword_category,data_type_focus,verdict,weight,created_at
aa6ca3f2-d353-4d2f-bb3c-362a36331872,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,DISEASE,질환,OTHER,NONE,CONTEXT_CHECK,2,2026-08-14 04:05:00.136263+00:00
65653a53-69fc-4af4-a275-72fc6e457220,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,시술,TREATMENT,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
ee36846a-9969-4589-881f-a089e2797df4,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,검사,OTHER,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
bfc5b365-b3bb-4e94-b178-f49ec09bf93a,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,의사 상담,TREATMENT,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
2b74d8de-b295-4314-884c-36a99b3dd840,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,검사 결정,TREATMENT,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
fac78de9-dfca-497e-93d4-2f6162a4d3a3,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,질병 의심소견 확인,TREATMENT,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
d26ca930-290b-4403-8e9b-e0dc421acda8,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,질병 치료 추천,TREATMENT,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
0c0406b8-3d4d-4f75-83d1-28ee0db1f011,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,DISEASE,질병 정보,DIAGNOSIS,NONE,CONTEXT_CHECK,2,2026-08-14 04:05:00.136263+00:00
d0346003-716a-459c-b41f-7379520f4f14,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,의료적 검사,TREATMENT,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
65b569db-4248-486b-bd62-b1423384129c,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,의사 처방,TREATMENT,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
a3052b53-007a-4572-bb6a-6714d35fbbb1,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,의약품 복용,TREATMENT,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
99da4049-c9ff-4587-95eb-5089147fc763,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,의료적 상담,TREATMENT,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
123fe6a2-3400-4757-a7fa-807220468ba7,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,의사의 처방,TREATMENT,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
01779c26-a549-4939-9f36-ede04ec5698a,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,약물에 대해 설명,TREATMENT,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
3115d1b0-02d7-4252-a14a-700e2bd11841,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,DISEASE,건강지표,DATA_TYPE,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
6cc599ef-5594-40c2-b395-04e60b998067,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,금연,TREATMENT,NONE,CONTEXT_CHECK,2,2026-08-14 04:05:00.136263+00:00
f8bacd49-30d7-4426-be5a-496be25ca77b,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,절주,TREATMENT,NONE,CONTEXT_CHECK,2,2026-08-14 04:05:00.136263+00:00
b3e550f8-bcfd-4ed2-a2cc-7abf7e790fde,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,스트레스 관리,TREATMENT,NONE,CONTEXT_CHECK,2,2026-08-14 04:05:00.136263+00:00
b0b42259-0dae-44b3-9de3-ff74748de17f,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,DISEASE,인플루엔자,DATA_TYPE,NONE,CONTEXT_CHECK,2,2026-08-14 04:05:00.136263+00:00
71a878b2-2372-4456-9fb8-5d2c93a155a5,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,복약시간,TREATMENT,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
10f82f44-cd9a-4f03-a7a8-387a884c24c4,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,복약,TREATMENT,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
49afe658-f732-45d0-b19a-923be5aabae4,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,DISEASE,건강,DATA_TYPE,NONE,CONTEXT_CHECK,2,2026-08-14 04:05:00.136263+00:00
